Carimbo de data/hora,Avaliador,Equipe avaliada,Aliança,Partida:,Robô operacional,Mobilidade (autônomo),"Peças de jogo (autônomo): 
Pontuou na ROW inferior","Peças de jogo (autônomo): 
Pontuou na ROW do meio","Peças de jogo (autônomo): 
Pontuou na ROW do topo",Robô contato com a charge station (autonômo):,"Peças de jogo (teleoperado): 
Pontuou na ROW inferior","Peças de jogo (teleoperado): 
Pontuou na ROW do meio","Peças de jogo (teleoperado): 
Pontuou na ROW do topo",Robô contato com a charge station (teleoperado):,"Link (teleoperado):
3 NODES adjacentes com peças de jogo pontuando","Park (teleoperado):
Todos os bumpers do robô dentro da sua comunidade sem estar DOCKED","Coopertion bonus (qualificatória):
Ao menos 3 PEÇAS DE JOGO foram pontuadas em cada CO-OP GRID da aliança","Activation bonus (qualificatória):
Ao menos 26 pontos foram ganhos com a CHARGE STATION durante o período autonômo e/ou endgame",Resultado final (qualificatória):,Pontuação de penalidade da aliança oposta:
16/03/2023 12:24:15,4,9200 | SESI SENAI STARDUST,Azul,Prática,Sim,Sim,0,0,1,DOCKED e NÃO ENGAGED (robô em contato com a charge station),0,0,3,Não fez contato,1,Sim,Não,Não,Equipe ganhou,0
16/03/2023 12:24:21,2,7563 | SESI SENAI MEGAZORD,Vermelho,Prática,Sim,Não,0,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,0,4,Não fez contato,1,Sim,Não,,Equipe perdeu,0
16/03/2023 12:24:24,7,9085 | SESI SENAI MEGA HARPY,Azul,Prática,Sim,Não,0,0,0,Não fez contato,0,3,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),1,Sim,Não,Não,Equipe ganhou,
16/03/2023 12:38:53,7,1156 | Under Control,Azul,Prática,Sim,Não,0,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,4,2,DOCKED e NÃO ENGAGED (robô em contato com a charge station),1,Não,Não,Não,Equipe ganhou,0
16/03/2023 12:39:20,4,9162 | ALL MIGHT,Azul,Prática,Sim,Não,0,0,0,Não fez contato,1,0,0,Não fez contato,1,Não,Não,Não,Equipe ganhou,0
16/03/2023 12:39:48,3,9050 | Tucanus,Vermelho,Prática,Não,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,0,Não,Não,Não,Equipe perdeu,
16/03/2023 12:40:01,9,9047 | SESI SENAI SC TechMaker Robotics,Azul,Prática,Sim,Não,0,0,0,Não fez contato,0,0,2,Não fez contato,1,Sim,Não,Não,Equipe ganhou,0
16/03/2023 12:40:50,8,9199 | SESI SENAI SHARKS,Vermelho,Prática,Sim,Sim,0,0,0,Não fez contato,0,2,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe perdeu,
16/03/2023 12:48:30,3,7567 | SESI SENAI OCTOPUS,Vermelho,Prática,Sim,Não,0,0,0,Não fez contato,0,0,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe ganhou,
16/03/2023 12:49:18,8,9049 | SESI SENAI STEAMPUNK MONKEY FRC,Vermelho,Prática,Sim,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,0,Não,Não,Não,Equipe ganhou,
